ats	ATS
avs	AVS
ems	EMS
ps	PS
oms	OMS
hes	HES
cms	CMS
crs	CRS
ts	TS
ofs	OFS
css	CSS
rs	RS
snus	SNUS
uns	UNS
bns	BNS
uss	USS
curabilis	Curabilis
infirmis	Infirmis
ofas	OFAS
os	OS
caritas	Caritas
eats	EATS
migros	Migros
bougeries	Bougeries
grangettes	Grangette
alpes	Alpes
efas	EFAS
tcs	TCS
comparis	Comparis
dsas	DSAS
bps	BPS
cds	CDS
ores	ORES
pass	pass
rs	RS
sas	SAS
dess	DESS
ds	DS
ous	OUS
cs	CS
is	IS
it	IT
ms	MS
hs	HS
bass	BASS
sos	SOS
mas	MAS
sis	SIS
sus	SUS
pss	PSS
ups	UPS
lss	LSS


access	Access

françois	François
thomas	Thomas
yves	Yves
morris	Morris
nicolas	Nicolas
hodgers	Hodgers
jacques	Jacques
letemps	LeTemps
urs	URS
novartis	Novartis
charles	Charles
georges	Georges
cassis	Cassis
buchs	Buchs
mathias	Mathias
gilles	Gilles
carlos	Carlos
garessus	Garessus
dethurens	Dethurens
agnès	Agnès
armanios	Armanios
james	James
denis	Denis
dreifuss	Dreifuss
louis	Louis
andréas	Andréas
hans	Hans
vautravers	Vautravers
aross	Aross
luis	Luis
nicolas	Nicolas
martins	Martins
martins	Martin
philips	Philips
peters	Peters
lucas	Lucas




vs	valais
plainpalais	Plainpalais
bastions	Bastions
morges	Morges
pâquis	Pâquis
acacias	Acacias
chablais	Chablais
vernets	Vernets
bs	Bâle
us	USA
